id,path,kind,dest,args,source
GFX_gallery_NoticeText3_ch1,media\\gallery\\NoticeText3_ch1.png,single,,"0x32,1,0x32",secondary
GFX_gallery_GalleryPic_ch1,media\\gallery\\GalleryPic_ch1.png,single,,"0x14,5,4",secondary
GFX_system_TitleMenu2_ch1,media\\system\\TitleMenu2_ch1.png,single,,"9,1,9",secondary
GFX_system_MenuTitle_ch1,media\\system\\MenuTitle_ch1.png,single,,"0xd,1,0xd",secondary
GFX_system_EquipMenu_ch1,media\\system\\EquipMenu_ch1.png,single,,"0x1e,6,5",secondary
GFX_system_MapMenu_ch1,media\\system\\MapMenu_ch1.png,single,,"0xe,1,0xe",secondary
GFX_system_MapMenu2_ch,media\\system\\MapMenu2_ch.png,single,,"0x14,1,0x14",secondary
GFX_system_Manual_ch2,media\\system\\Manual_ch2.png,single,,"0xb,1,0xb",secondary
GFX_system_ManualMenu_ch2,media\\system\\ManualMenu_ch2.png,single,,"0xc,1,0xc",secondary
GFX_system_DifficultyTips_ch2,media\\system\\DifficultyTips_ch2.png,single,,"6,1,6",secondary
GFX_system_KerPromot_ch2,media\\system\\KerPromot_ch2.png,single,,"0xe,1,0xe",secondary
GFX_player_PauseMenu_ch2,media\\player\\PauseMenu_ch2.png,single,,"0x1e,1,0x1e",secondary
GFX_stage_TutorialPanel_ch2,media\\stage\\TutorialPanel_ch2.png,single,,"3,3,1",secondary
GFX_player_Unlock_ch2,media\\player\\Unlock_ch2.png,single,,"9,1,9",secondary
GFX_gallery_NoticeText2_ch2,media\\gallery\\NoticeText2_ch2.png,single,,"0x14,1,0x14",secondary
GFX_gallery_NoticeText3_ch2,media\\gallery\\NoticeText3_ch2.png,single,,"0x32,1,0x32",secondary
GFX_gallery_GalleryPic_ch2,media\\gallery\\GalleryPic_ch2.png,single,,"0x14,5,4",secondary
GFX_system_TitleMenu2_ch2,media\\system\\TitleMenu2_ch2.png,single,,"9,1,9",secondary
GFX_system_MenuTitle_ch2,media\\system\\MenuTitle_ch2.png,single,,"0xd,1,0xd",secondary
GFX_system_EquipMenu_ch2,media\\system\\EquipMenu_ch2.png,single,,"0x1e,6,5",secondary
GFX_system_MapMenu_ch2,media\\system\\MapMenu_ch2.png,single,,"0xe,1,0xe",secondary
GFX_system_MapMenu2_ch_2,media\\system\\MapMenu2_ch.png,single,,"0x14,1,0x14",secondary
