target	ref_from	ref_type	function_entry	function_name
140e45d80	14010d62c	READ	14010cc90	FUN_14010cc90
140e45d80	1401340e4	READ	1401340e0	FUN_1401340e0
140e45d80	1401341b3	READ	1401341a0	FUN_1401341a0
140e45d80	1400dc22a	READ	1400dc1c0	FUN_1400dc1c0
140e45d80	1400e06a0	READ	1400e0680	FUN_1400e0680
140e45d80	1400e087a	READ	1400e0680	FUN_1400e0680
140e45d80	1400e0d3f	READ	1400e0680	FUN_1400e0680
140e45d80	1400e146a	READ	1400e0680	FUN_1400e0680
140e45d80	1400e2043	READ	1400e0680	FUN_1400e0680
140e45d80	1400e2154	READ	1400e20e0	FUN_1400e20e0
140e45d80	1400e47fb	READ	1400e47c0	FUN_1400e47c0
140e45d80	1400e639b	READ	1400e6340	FUN_1400e6340
140e45d80	1400e85ac	READ	1400e8570	FUN_1400e8570
140e45d80	1400e9e96	READ	1400e9e20	FUN_1400e9e20
140e45d80	1400ea120	READ	1400e9e20	FUN_1400e9e20
140e45d80	1400eb6ac	READ	1400e9e20	FUN_1400e9e20
140e45d80	1400ee267	READ	1400ee200	FUN_1400ee200
140e45d80	1400ee745	READ	1400ee710	FUN_1400ee710
140e45d80	1400f12bb	READ	1400f1250	FUN_1400f1250
140e45d80	1400f30d6	READ	1400f3060	FUN_1400f3060
140e45d80	1400f44ad	READ	1400f4430	FUN_1400f4430
140e45d80	140134430	READ	140134420	FUN_140134420
140e45d80	14006d9d8	READ	14006ce40	FUN_14006ce40
140e45d80	14006e460	READ	14006ce40	FUN_14006ce40
140e45d80	1400c0a69	READ	1400be7a0	FUN_1400be7a0
140e45d80	1400c1aba	READ	1400be7a0	FUN_1400be7a0
140e45d80	140030986	READ	14002d2f0	FUN_14002d2f0
140e45d80	140030dd8	READ	14002d2f0	FUN_14002d2f0
140e45d80	1400310d3	READ	14002d2f0	FUN_14002d2f0
140e45d80	1400311e3	READ	14002d2f0	FUN_14002d2f0
140e45d80	1400794fb	READ	140078b70	FUN_140078b70
140e45d80	140079586	READ	140078b70	FUN_140078b70
140e45d80	1400795cb	READ	140078b70	FUN_140078b70
140e45d80	14007961d	READ	140078b70	FUN_140078b70
140e45d90	140079bea	WRITE	140079b00	stage_entity_flush_effects_candidate
140e45d90	140078b31	READ	140078a00	stage_entity_spawn_candidate
140e45d90	140078b41	WRITE	140078a00	stage_entity_spawn_candidate
140e45d90	1400be18f	WRITE	1400bca30	state_14_replay_demo_gameplay_update_candidate
140e45d90	1400be1a2	WRITE	1400bca30	state_14_replay_demo_gameplay_update_candidate
140e44e6c	140079bf1	WRITE	140079b00	stage_entity_flush_effects_candidate
140e44e6c	14012e07a	READ	14012e070	FUN_14012e070
140e44e6c	140002288	READ	140002260	FUN_140002260
140e44e6c	140078a0f	READ	140078a00	stage_entity_spawn_candidate
140e44e6c	140078ac0	READ_WRITE	140078a00	stage_entity_spawn_candidate
140e44e6c	140007986	READ	140007960	FUN_140007960
140e44e6c	140008033	READ	140007fc0	FUN_140007fc0
140e44e6c	140009392	READ	140007fc0	FUN_140007fc0
140e44e6c	14000d497	READ	14000d480	FUN_14000d480
140e44e6c	14000e3c4	READ	14000e3b0	FUN_14000e3b0
140e44e6c	140011a8e	READ	140011a80	FUN_140011a80
140e44e6c	140011eef	READ	140011a80	FUN_140011a80
140e44e6c	14001210f	READ	1400120b0	FUN_1400120b0
140e44e6c	140012dd4	READ	140012dc0	FUN_140012dc0
140e44e6c	140013c14	READ	140013c00	FUN_140013c00
140e44e6c	140014b87	READ	140013c00	FUN_140013c00
140e44e6c	140018500	READ	140018480	FUN_140018480
140e44e6c	140018772	READ	140018480	FUN_140018480
140e44e6c	14001ab5c	READ	140018480	FUN_140018480
140e44e6c	14001ac54	READ	14001ac40	FUN_14001ac40
140e44e6c	14001b554	READ	14001b540	FUN_14001b540
140e44e6c	14001c4fb	READ	14001b540	FUN_14001b540
140e44e6c	14001c534	READ	14001b540	FUN_14001b540
140e44e6c	1400210d8	READ	1400210c0	FUN_1400210c0
140e44e6c	140021b40	READ	1400210c0	FUN_1400210c0
140e44e6c	140021b79	READ	1400210c0	FUN_1400210c0
140e44e6c	140021c9a	READ	140021c80	FUN_140021c80
140e44e6c	140022138	READ	140022120	FUN_140022120
140e44e6c	140023096	READ	140022120	FUN_140022120
140e44e6c	1400230cf	READ	140022120	FUN_140022120
140e44e6c	140026b9a	READ	140026b80	FUN_140026b80
140e44e6c	140027100	READ	1400270f0	FUN_1400270f0
140e44e6c	140028921	READ	1400270f0	FUN_1400270f0
140e44e6c	1400289bd	READ	1400289b0	FUN_1400289b0
140e44e6c	14002989d	READ	140029880	FUN_140029880
140e44e6c	14002aadc	READ	14002aac0	FUN_14002aac0
140e44e6c	14002b70e	READ	14002b680	FUN_14002b680
140e44e6c	14002d314	READ	14002d2f0	FUN_14002d2f0
140e44e6c	14002dadf	READ	14002d2f0	FUN_14002d2f0
140e44e6c	140032060	READ	140032040	FUN_140032040
140e44e6c	140032771	READ	140032740	FUN_140032740
140e44e6c	140032b82	READ	140032740	FUN_140032740
140e44e6c	140032d84	READ	140032740	FUN_140032740
140e44e6c	14003307d	READ	140033070	FUN_140033070
140e44e6c	14003403f	READ	140033070	FUN_140033070
140e44e6c	14003450b	READ	140033070	FUN_140033070
140e44e6c	140034699	READ	140034670	FUN_140034670
140e44e6c	140034c32	READ	140034670	FUN_140034670
140e44e6c	140034eb8	READ	140034e90	FUN_140034e90
140e44e6c	140036b77	READ	140036b60	FUN_140036b60
140e44e6c	140037b47	READ	140037b30	FUN_140037b30
140e44e6c	1400407cf	READ	140040750	FUN_140040750
140e44e6c	1400412a0	READ	140040750	FUN_140040750
140e44e6c	14004171f	READ	140041710	FUN_140041710
140e44e6c	140041ea5	READ	140041e90	FUN_140041e90
140e44e6c	1400429ac	READ	140041e90	FUN_140041e90
140e44e6c	14004371c	READ	140043710	FUN_140043710
140e44e6c	140043fad	READ	140043fa0	FUN_140043fa0
140e44e6c	140044924	READ	140044910	FUN_140044910
140e44e6c	140045097	READ	140045080	FUN_140045080
140e44e6c	140045ab4	READ	140045aa0	FUN_140045aa0
140e44e6c	1400465f0	READ	1400465d0	FUN_1400465d0
140e44e6c	1400466ad	READ	1400465d0	FUN_1400465d0
140e44e6c	140047f54	READ	1400465d0	FUN_1400465d0
140e44e6c	140047f8d	READ	1400465d0	FUN_1400465d0
140e44e6c	140048402	READ	1400483e0	FUN_1400483e0
140e44e6c	14004881b	READ	1400483e0	FUN_1400483e0
140e44e6c	1400488d6	READ	1400488b0	FUN_1400488b0
140e44e6c	14004a4b0	READ	14004a4a0	FUN_14004a4a0
140e44e6c	140051043	READ	140051030	FUN_140051030
140e44e6c	1400512c8	READ	1400512b0	FUN_1400512b0
140e44e6c	1400526d4	READ	1400526c0	FUN_1400526c0
140e44e6c	140057fa7	READ	140057f90	FUN_140057f90
140e44e6c	140058ae4	READ	140058ad0	FUN_140058ad0
140e44e6c	140059017	READ	140059000	FUN_140059000
140e44e6c	14005976d	READ	140059760	FUN_140059760
140e44e6c	14005a407	READ	14005a3f0	FUN_14005a3f0
140e44e6c	14005b0b7	READ	14005a3f0	FUN_14005a3f0
140e44e6c	14005b0f7	READ	14005a3f0	FUN_14005a3f0
140e44e6c	14005b4bc	READ	14005b4a0	FUN_14005b4a0
140e44e6c	14005c564	READ	14005b4a0	FUN_14005b4a0
140e44e6c	14005c59d	READ	14005b4a0	FUN_14005b4a0
140e44e6c	14005cc50	READ	14005cc30	FUN_14005cc30
140e44e6c	14005d85d	READ	14005cc30	FUN_14005cc30
140e44e6c	14005d896	READ	14005cc30	FUN_14005cc30
140e44e6c	14005dd78	READ	14005dd50	FUN_14005dd50
140e44e6c	14005e4e9	READ	14005e4e0	FUN_14005e4e0
140e44e6c	14005e636	READ	14005e4e0	FUN_14005e4e0
140e44e6c	14005e89d	READ	14005e890	FUN_14005e890
140e44e6c	14005fc4d	READ	14005fc20	FUN_14005fc20
140e44e6c	14006128b	READ	14005fc20	FUN_14005fc20
140e44e6c	1400612c6	READ	14005fc20	FUN_14005fc20
140e44e6c	140061a25	READ	140061a00	FUN_140061a00
140e44e6c	14006207f	READ	140062060	FUN_140062060
140e44e6c	140062fca	READ	140062060	FUN_140062060
140e44e6c	140063004	READ	140062060	FUN_140062060
140e44e6c	140063118	READ	1400630f0	FUN_1400630f0
140e44e6c	1400631d0	READ	1400630f0	FUN_1400630f0
140e44e6c	140063e35	READ	1400630f0	FUN_1400630f0
140e44e6c	140063e6e	READ	1400630f0	FUN_1400630f0
140e44e6c	140063ed0	READ	140063ec0	FUN_140063ec0
140e44e6c	140064673	READ	140064630	FUN_140064630
140e44e6c	140064776	READ	140064630	FUN_140064630
140e44e6c	140065b3c	READ	140064630	FUN_140064630
140e44e6c	140066393	READ	140066370	FUN_140066370
140e44e6c	14006a2f3	READ	14006a2e0	FUN_14006a2e0
140e44e6c	14006ad75	READ	14006ad60	FUN_14006ad60
140e44e6c	14006ba14	READ	14006ad60	FUN_14006ad60
140e44e6c	14006ba4d	READ	14006ad60	FUN_14006ad60
140e44e6c	1400727c6	READ	140072560	FUN_140072560
140e44e6c	1400758cb	READ	1400757a0	FUN_1400757a0
140e44e6c	140075a5c	READ	140075a00	FUN_140075a00
140e44e6c	140077cfd	READ	140077cf0	FUN_140077cf0
140e44e6c	1400820b6	READ	140082090	FUN_140082090
140e44e6c	140082cb8	READ	140082090	FUN_140082090
140e44e6c	140083dc6	READ	140083db0	FUN_140083db0
140e44e6c	140088c44	READ	140088c20	FUN_140088c20
140e44e6c	1400892c7	READ	140088c20	FUN_140088c20
140e44e6c	14008bd74	READ	14008bd60	FUN_14008bd60
140e44e6c	140090003	READ	14008ffe0	FUN_14008ffe0
140e44e6c	14009073f	READ	14008ffe0	FUN_14008ffe0
140e44e6c	140090778	READ	14008ffe0	FUN_14008ffe0
140e44e6c	140093556	READ	140093540	FUN_140093540
140e44e6c	140093cbb	READ	140093540	FUN_140093540
140e44e6c	140093cf4	READ	140093540	FUN_140093540
140e44e6c	140094bd7	READ	140094bc0	FUN_140094bc0
140e44e6c	140098f5c	READ	140098f40	FUN_140098f40
140e44e6c	1400994d4	READ	140098f40	FUN_140098f40
140e44e6c	14009b0b4	READ	14009b0a0	FUN_14009b0a0
140e44e6c	14009c55e	READ	14009c530	FUN_14009c530
140e44e6c	14009cd40	READ	14009cd10	FUN_14009cd10
140e44e6c	14009d2cd	READ	14009cd10	FUN_14009cd10
140e44e6c	14009d3c2	READ	14009cd10	FUN_14009cd10
140e44e6c	1400a1e07	READ	1400a1df0	FUN_1400a1df0
140e44e6c	1400a8a92	READ	1400a8a80	FUN_1400a8a80
140e44e6c	1400ad98d	READ	1400ad970	FUN_1400ad970
140e44e6c	1400ae7fe	READ	1400ad970	FUN_1400ad970
140e44e6c	1400ae834	READ	1400ad970	FUN_1400ad970
140e44e6c	1400be153	READ_WRITE	1400bca30	state_14_replay_demo_gameplay_update_candidate
140e44e6c	1400be187	READ_WRITE	1400bca30	state_14_replay_demo_gameplay_update_candidate
140e44e6c	1400c4ec8	READ	1400c4bb0	FUN_1400c4bb0
140e44e6c	14010d356	READ	14010cc90	FUN_14010cc90
140e44e6c	1401340ee	READ	1401340e0	FUN_1401340e0
140e44e6c	1400d2aa4	READ	1400d21e0	state_02_title_main_menu_candidate
140e44e6c	1400dc1d4	READ	1400dc1c0	FUN_1400dc1c0
140e44e6c	1400e06a9	READ	1400e0680	FUN_1400e0680
140e44e6c	1400e0881	READ	1400e0680	FUN_1400e0680
140e44e6c	1400e0d46	READ	1400e0680	FUN_1400e0680
140e44e6c	1400e1457	READ	1400e0680	FUN_1400e0680
140e44e6c	1400e2036	READ	1400e0680	FUN_1400e0680
140e44e6c	1400e2106	READ	1400e20e0	FUN_1400e20e0
140e44e6c	1400e47cd	READ	1400e47c0	FUN_1400e47c0
140e44e6c	1400e6359	READ	1400e6340	FUN_1400e6340
140e44e6c	1400e857d	READ	1400e8570	FUN_1400e8570
