offset_hex,exe_path,re_relative,exists,actual_path
0x536d50,media\se\DreamPower.wav,se\DreamPower.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/DreamPower.wav
0x536d68,media\se\Fever1.wav,se\Fever1.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Fever1.wav
0x536d80,media\se\Fever2.mp3,se\Fever2.mp3,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Fever2.mp3
0x536d98,media\se\Fever3.wav,se\Fever3.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Fever3.wav
0x536db0,media\se\Fever4.wav,se\Fever4.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Fever4.wav
0x536dc8,media\se\EnemyDown1.wav,se\EnemyDown1.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/EnemyDown1.wav
0x536de0,media\se\EnemyDown2.wav,se\EnemyDown2.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/EnemyDown2.wav
0x536df8,media\se\EnemyDown3.wav,se\EnemyDown3.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/EnemyDown3.wav
0x536e10,media\se\Blast1.wav,se\Blast1.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Blast1.wav
0x536e28,media\se\Blast2.wav,se\Blast2.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Blast2.wav
0x536e40,media\se\Bullet1.wav,se\Bullet1.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Bullet1.wav
0x536e58,media\se\Bullet2.wav,se\Bullet2.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Bullet2.wav
0x536e70,media\se\Graze.wav,se\Graze.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Graze.wav
0x536e88,media\se\Alert.wav,se\Alert.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Alert.wav
0x536ea0,media\se\BossLife.wav,se\BossLife.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossLife.wav
0x536eb8,media\se\BossApproach.wav,se\BossApproach.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossApproach.wav
0x536ed8,media\se\BossSE1.wav,se\BossSE1.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE1.wav
0x536ef0,media\se\BossSE3.wav,se\BossSE3.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE3.wav
0x536f08,media\se\BossSE5.wav,se\BossSE5.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE5.wav
0x536f20,media\se\BossSE6.wav,se\BossSE6.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE6.wav
0x536f38,media\se\BossSE7.wav,se\BossSE7.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE7.wav
0x536f50,media\se\BossSE8.wav,se\BossSE8.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE8.wav
0x536f68,media\se\BossSE9.wav,se\BossSE9.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE9.wav
0x536f80,media\se\BossSE10.wav,se\BossSE10.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE10.wav
0x536f98,media\se\BossSE11.wav,se\BossSE11.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE11.wav
0x536fb0,media\se\BossSE12.wav,se\BossSE12.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE12.wav
0x536fc8,media\se\BossSE13.wav,se\BossSE13.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE13.wav
0x536fe0,media\se\BossSE14.wav,se\BossSE14.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE14.wav
0x536ff8,media\se\BossSE15.wav,se\BossSE15.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE15.wav
0x537010,media\se\BossSE16.wav,se\BossSE16.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE16.wav
0x537028,media\se\BossSE17.wav,se\BossSE17.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE17.wav
0x537040,media\se\BossSE18.wav,se\BossSE18.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE18.wav
0x537058,media\se\BossSE19.wav,se\BossSE19.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE19.wav
0x537070,media\se\BossSE20.wav,se\BossSE20.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossSE20.wav
0x537088,media\se\BossWeaken.wav,se\BossWeaken.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/BossWeaken.wav
0x5370a0,media\se\Timer.wav,se\Timer.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Timer.wav
0x5370b8,media\se\Bonus.wav,se\Bonus.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Bonus.wav
0x5370d0,media\se\Notice.wav,se\Notice.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Notice.wav
0x5370e8,media\se\Opening1.wav,se\Opening1.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Opening1.wav
0x537100,media\se\Opening2.wav,se\Opening2.wav,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/se/Opening2.wav
0x537178,media\system\Manual.png,system\Manual.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/Manual.png
0x537190,media\system\ManualMenu.png,system\ManualMenu.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/ManualMenu.png
0x5371b0,media\system\DifficultyTips.png,system\DifficultyTips.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/DifficultyTips.png
0x5371d0,media\system\KerPromot.png,system\KerPromot.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/KerPromot.png
0x5371f0,media\player\PauseMenu.png,player\PauseMenu.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/PauseMenu.png
0x537210,media\stage\TutorialPanel.png,stage\TutorialPanel.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/stage/TutorialPanel.png
0x537230,media\player\Unlock.png,player\Unlock.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/player/Unlock.png
0x537248,media\gallery\NoticeText2.png,gallery\NoticeText2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/NoticeText2.png
0x537268,media\gallery\NoticeText3.png,gallery\NoticeText3.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/NoticeText3.png
0x537288,media\gallery\GalleryPic.png,gallery\GalleryPic.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/gallery/GalleryPic.png
0x5372a8,media\system\TitleMenu2.png,system\TitleMenu2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/TitleMenu2.png
0x5372c8,media\system\MenuTitle.png,system\MenuTitle.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/MenuTitle.png
0x5372e8,media\system\EquipMenu.png,system\EquipMenu.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/EquipMenu.png
0x537308,media\system\MapMenu.png,system\MapMenu.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/MapMenu.png
0x537328,media\system\MapMenu2.png,system\MapMenu2.png,True,/Users/happyelements/SteamLibrary/steamapps/common/Like Dreamer/re/system/MapMenu2.png
