address	value
1404ada68	winmm.dll
1404ada78	timeSetEvent
1404ada88	timeKillEvent
1404ada98	timeBeginPeriod
1404adaa8	timeEndPeriod
1404adab8	timeGetTime
1404adac8	timeGetDevCaps
1404adad8	joyGetPosEx
1404adae8	joyGetDevCapsW
1404adaf8	mciSendCommandW
1404adb08	waveOutOpen
1404adb18	waveOutClose
1404adb28	waveOutPrepareHeader
1404adb40	waveOutUnprepareHeader
1404adb58	waveOutWrite
1404adb68	waveOutReset
1404adb78	kernel32.dll
1404adb88	GetModuleHandleA
1404adba0	GetModuleHandleW
1404adbb8	VerifyVersionInfoA
1404adbd0	VerifyVersionInfoW
1404adbe8	VerSetConditionMask
1404adc00	CreateEventA
1404adc10	SetEvent
1404adc20	ResetEvent
1404adc30	CreateThread
1404adc40	SetThreadPriority
1404adc58	GetThreadPriority
1404adc70	ExitThread
1404adc80	GetExitCodeThread
1404adc98	GetCurrentThread
1404adcb0	GetCurrentThreadId
1404adcc8	SuspendThread
1404adcd8	ResumeThread
1404adce8	WaitForSingleObject
1404add00	WaitForMultipleObjects
1404add18	GetProcessHeap
1404add28	HeapAlloc
1404add38	HeapFree
1404add48	VirtualAlloc
1404add58	VirtualFree
1404add68	VirtualQuery
1404add78	GlobalAlloc
1404add88	GlobalFree
1404add98	GlobalLock
1404adda8	GlobalUnlock
1404addb8	GlobalSize
1404addc8	CreateSemaphoreA
1404adde0	ReleaseSemaphore
1404addf8	GetVersionExA
1404ade08	GetVersionExW
1404ade18	GetSystemInfo
1404ade28	lstrlenA
1404ade38	lstrlenW
1404ade48	lstrcmpA
1404ade58	lstrcmpW
1404ade68	lstrcpyA
1404ade78	lstrcpyW
1404ade88	lstrcpynA
1404ade98	lstrcpynW
1404adea8	GetTickCount
1404adeb8	QueryPerformanceCounter
1404aded0	QueryPerformanceFrequency
1404adef0	CloseHandle
1404adf00	GetTempPathA
1404adf10	GetTempPathW
1404adf20	GetTempFileNameA
1404adf38	GetTempFileNameW
1404adf50	CreateFileA
1404adf60	CreateFileW
1404adf70	DeleteFileA
1404adf80	DeleteFileW
1404adf90	GetFileSize
1404adfa0	WriteFile
1404adfb0	ReadFile
1404adfc0	SetFilePointer
1404adfd0	FindFirstFileA
1404adfe0	FindFirstFileW
1404adff0	FindNextFileA
1404ae000	FindNextFileW
1404ae010	FindClose
1404ae020	SetCurrentDirectoryA
1404ae038	SetCurrentDirectoryW
1404ae050	GetCurrentDirectoryA
1404ae068	GetCurrentDirectoryW
1404ae080	Sleep
1404ae088	InitializeCriticalSection
1404ae0a8	DeleteCriticalSection
1404ae0c0	EnterCriticalSection
1404ae0d8	LeaveCriticalSection
1404ae0f0	ExitProcess
1404ae100	LoadResource
1404ae110	FindResourceA
1404ae120	FindResourceW
1404ae130	LockResource
1404ae140	SizeofResource
1404ae150	GetOEMCP
1404ae160	OutputDebugStringA
1404ae178	OutputDebugStringW
1404ae190	GlobalMemoryStatus
1404ae1a4	MulDiv
1404ae1b0	GetLocalTime
1404ae1c0	GetSystemPowerStatus
1404ae1d8	FileTimeToLocalFileTime
1404ae1f0	FileTimeToSystemTime
1404ae208	GetLastError
1404ae218	MultiByteToWideChar
1404ae230	ole32.dll
1404ae240	CoCreateInstance
1404ae258	CoTaskMemAlloc
1404ae268	CoTaskMemFree
1404ae278	CoInitializeEx
1404ae288	CoFreeUnusedLibraries
1404ae2a0	CoUninitialize
1404ae2b0	CLSIDFromString
1404ae2c0	oleaut32.dll
1404ae2d0	SysAllocString
1404ae2e0	SysFreeString
1404ae2f0	VariantClear
1404ae300	VariantInit
1404ae310	comctl32.dll
1404ae320	InitCommonControls
1404ae338	Ole32.dll
1404ae348	CoSetProxyBlanket
1404ae360	PropVariantClear
1404ae378	User32.dll
1404ae388	WINNLSEnableIME
1404ae398	UpdateLayeredWindow
1404ae3b0	CreateWindowExA
1404ae3c0	CreateWindowExW
1404ae3d0	DestroyWindow
1404ae3e0	IsWindow
1404ae3f0	ShowWindow
1404ae400	UpdateWindow
1404ae410	BringWindowToTop
1404ae428	SetForegroundWindow
1404ae440	GetWindowThreadProcessId
1404ae460	SetActiveWindow
1404ae470	GetForegroundWindow
1404ae488	GetDesktopWindow
1404ae4a0	FindWindowA
1404ae4b0	FindWindowW
1404ae4c0	MoveWindow
1404ae4d0	SetWindowPos
1404ae4e0	GetClientRect
1404ae4f0	AdjustWindowRectEx
1404ae508	GetWindowRect
1404ae518	SetWindowLongA
1404ae528	SetWindowLongW
1404ae538	SetWindowLongPtrA
1404ae550	SetWindowLongPtrW
1404ae568	GetWindowLongA
1404ae578	GetWindowLongW
1404ae588	GetWindowLongPtrA
1404ae5a0	GetWindowLongPtrW
1404ae5b8	SetWindowTextA
1404ae5c8	SetWindowTextW
1404ae5d8	ClientToScreen
1404ae5e8	EnumDisplayDevicesA
1404ae600	EnumDisplayDevicesW
1404ae618	ShutdownBlockReasonCreate
1404ae638	ShutdownBlockReasonDestroy
1404ae658	SetTimer
1404ae668	PostThreadMessageA
1404ae680	PostThreadMessageW
1404ae698	PeekMessageA
1404ae6a8	PeekMessageW
1404ae6b8	GetMessageA
1404ae6c8	GetMessageW
1404ae6d8	SendMessageA
1404ae6e8	SendMessageW
1404ae6f8	PostMessageA
1404ae708	PostMessageW
1404ae718	PostQuitMessage
1404ae728	DefWindowProcA
1404ae738	DefWindowProcW
1404ae748	TranslateAcceleratorA
1404ae760	TranslateAcceleratorW
1404ae778	TranslateMessage
1404ae790	DispatchMessageA
1404ae7a8	DispatchMessageW
1404ae7c0	MsgWaitForMultipleObjects
1404ae7e0	GetQueueStatus
1404ae7f0	RegisterWindowMessageA
1404ae808	RegisterWindowMessageW
1404ae820	RegisterClassA
1404ae830	RegisterClassW
1404ae840	RegisterClassExA
1404ae858	RegisterClassExW
1404ae870	UnregisterClassA
1404ae888	UnregisterClassW
1404ae8a0	SetClassLongA
1404ae8b0	SetClassLongW
1404ae8c0	SetClassLongPtrA
1404ae8d8	SetClassLongPtrW
1404ae8ec	GetDC
1404ae8f8	ReleaseDC
1404ae908	BeginPaint
1404ae918	EndPaint
1404ae928	MessageBoxA
1404ae938	MessageBoxW
1404ae948	GetSystemMetrics
1404ae960	ChangeDisplaySettingsA
1404ae978	ChangeDisplaySettingsW
1404ae990	ShowCursor
1404ae9a0	SetCursorPos
1404ae9b0	GetCursorPos
1404ae9c0	SetCursor
1404ae9d0	LoadCursorA
1404ae9e0	LoadCursorW
1404ae9f0	LoadIconA
1404aea00	LoadIconW
1404aea10	ClipCursor
1404aea20	LoadMenuA
1404aea30	LoadMenuW
1404aea40	CreateMenu
1404aea50	DeleteMenu
1404aea60	DestroyMenu
1404aea70	EnableMenuItem
1404aea80	GetSubMenu
1404aea90	SetMenuItemInfoA
1404aeaa8	SetMenuItemInfoW
1404aeac0	GetMenuItemInfoA
1404aead8	GetMenuItemInfoW
1404aeaf0	SetMenu
1404aeaf8	DrawMenuBar
1404aeb08	GetMenuItemCount
1404aeb20	InsertMenuItemA
1404aeb30	InsertMenuItemW
1404aeb40	SetWindowRgn
1404aeb50	FillRect
1404aeb60	SystemParametersInfoA
1404aeb78	SystemParametersInfoW
1404aeb90	AttachThreadInput
1404aeba8	SetWindowsHookExW
1404aebc0	UnhookWindowsHookEx
1404aebd8	GetKeyboardState
1404aebf0	KillTimer
1404aec00	EnumDisplaySettingsA
1404aec18	EnumDisplaySettingsW
1404aec30	EnumDisplayMonitors
1404aec48	IsDialogMessageA
1404aec60	IsDialogMessageW
1404aec78	OpenClipboard
1404aec88	CloseClipboard
1404aec98	EmptyClipboard
1404aeca8	SetClipboardData
1404aecc0	GetClipboardData
1404aecd8	IsClipboardFormatAvailable
1404aecf8	CreateAcceleratorTableA
1404aed10	CreateAcceleratorTableW
1404aed28	DestroyAcceleratorTable
1404aed40	CopyAcceleratorTableA
1404aed58	CopyAcceleratorTableW
1404aed70	GetMonitorInfoA
1404aed80	GetMonitorInfoW
1404aed90	CharLowerBuffA
1404aeda0	CharLowerBuffW
1404aedb0	GetRawInputDeviceList
1404aedc8	GetRawInputDeviceInfoA
1404aede0	CloseTouchInputHandle
1404aedf8	GetTouchInputInfo
1404aee10	IsTouchWindow
1404aee20	RegisterTouchWindow
1404aee38	UnregisterTouchWindow
1404aee50	gdi32.dll
1404aee60	AddFontMemResourceEx
1404aee78	RemoveFontMemResourceEx
1404aee90	GetFontUnicodeRanges
1404aeea8	GetDeviceCaps
1404aeeb8	EnumFontFamiliesExA
1404aeed0	EnumFontFamiliesExW
1404aeee8	CreateFontA
1404aeef8	CreateFontW
1404aef08	GetTextMetricsA
1404aef18	GetTextMetricsW
1404aef28	GetTextExtentPoint32A
1404aef40	GetTextExtentPoint32W
1404aef58	GetCharacterPlacementA
1404aef70	GetCharacterPlacementW
1404aef88	GetGlyphOutlineA
1404aefa0	GetGlyphOutlineW
1404aefb8	TextOutA
1404aefc8	TextOutW
1404aefd8	SetTextColor
1404aefe8	SetBkColor
1404aeff8	SetBkMode
1404af008	CreateCompatibleDC
1404af020	CreateDCA
1404af030	CreateDCW
1404af040	GetObjectA
1404af050	GetObjectW
1404af060	GetStockObject
1404af070	SelectObject
1404af080	DeleteObject
1404af090	DeleteDC
1404af0a0	CreateSolidBrush
1404af0b8	Rectangle
1404af0c4	BitBlt
1404af0d0	CreateDIBSection
1404af0e8	StretchDIBits
1404af0f8	SetDIBitsToDevice
1404af110	CreateRectRgn
1404af120	CombineRgn
1404af130	GetKerningPairsW
1404af148	advapi32.dll
1404af158	RegOpenKeyA
1404af168	RegOpenKeyW
1404af178	RegEnumKeyA
1404af188	RegEnumKeyW
1404af198	RegOpenKeyExA
1404af1a8	RegOpenKeyExW
1404af1b8	RegQueryValueExA
1404af1d0	RegQueryValueExW
1404af1e8	shell32.dll
1404af1f8	DragQueryFileA
1404af208	DragQueryFileW
1404af218	DragFinish
1404af228	DragAcceptFiles
1404af238	ntdll.dll
1404af248	RtlGetVersion
1404af258	Mfplat.dll
1404af268	MFStartup
1404af278	MFShutdown
1404af288	MFCreateMediaType
1404af2a0	MFCreateWaveFormatExFromMFMediaType
1404af2c8	MFCreateAttributes
1404af2e0	MFCreateAsyncResult
1404af2f8	MFInvokeCallback
1404af310	Mfreadwrite.dll
1404af320	MFCreateSourceReaderFromURL
1404af340	MFCreateSourceReaderFromByteStream
1404af368	Propsys.dll
1404af378	PropVariantToInt64
1404af390	usp10.dll
1404af3a0	ScriptItemize
1404af3b0	ScriptShape
1404af3c0	shcore.dll
1404af3d0	SetProcessDpiAwareness
1404af3e8	GetProcessDpiAwareness
1404af400	GetDpiForMonitor
1404af418	dwmapi.dll
1404af428	DwmEnableComposition
1404af440	DwmGetWindowAttribute
1404af458	..\\..\\..\\..\\..\\Source\\Library\\Main\\Windows\\DxWinAPI.cpp
1404af490	Movie
1404af520	MFStartup Error\n
1404af548	..\\..\\..\\..\\..\\Source\\Library\\Main\\Windows\\DxMovieWin.cpp
1404af590	CoCreateInstance Error : CLSID_FilterGraph\n
1404af5e8	MovieRenderer
1404af610	Could not add renderer filter to graph!\n
1404af670	QueryInterface Error : IID_IBasicAudio\n
1404af6c0	QueryInterface Error : IID_IMediaControl\n
1404af720	QueryInterface Error : IID_IMediaSeeking\n
1404af778	RenderFile faired!\n
1404af7a0	Movie File Open Error : 
1404af810	 %u x %u  %u bit 
1404af838	1YWeW0~0W0_0\n
1404afa38	DISPLAY
1404afa70	..\\..\\..\\..\\..\\Source\\Library\\Main\\Windows\\DxLogWin.cpp
1404afaa8	..\\..\\..\\..\\..\\Source\\Library\\Main\\Windows\\DxFontWin.cpp
1404afbee	 in CFont
1404afc46	 in CFont
1404afc7a	 in CFont
1404afcc4	 in CFont
1404aff00	..\\..\\..\\..\\..\\Source\\Library\\Main\\Windows\\DxBaseImageWin.cpp
1404aff40	Base_VERTEX_NOTEX_2D.vso
1404aff60	POSITION
1404aff6c	COLOR
1404aff78	Base_VERTEX2D.vso
1404aff90	TEXCOORD
1404affa0	Base_VERTEX_BLENDTEX_2D.vso
1404affc0	Base_VERTEX_NOTEX_3D.vso
1404affe0	Base_VERTEX_3D.vso
1404afff8	Base_VERTEX3D.vso
